    1    0.1808333333E+01    0.0000000000E+00    0.5805696766E+00   -0.6985160501E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.9575609235E-12    0.9575609235E-12    0.9999971510E+00    0.9999971510E+00
    1    0.2066666667E+01    0.0000000000E+00    0.5805696766E+00   -0.2015459857E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.7202210888E-15    0.7202210888E-15    0.9999986553E+00    0.9999986553E+00
    1    0.2325000000E+01    0.0000000000E+00    0.5805696766E+00   -0.2887357586E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.9773125547E-14    0.9773125547E-14    0.9999987459E+00    0.9999987459E+00
    2    0.2325000000E+01    0.0000000000E+00    0.5805696766E+00   -0.2757621280E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2827832138E-12    0.2827832138E-12    0.9999986364E+00    0.9999986364E+00
    3    0.2325000000E+01    0.0000000000E+00    0.5805696766E+00    0.1564621459E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2759885083E-12    0.2759885083E-12    0.9999984877E+00    0.9999984877E+00
    1    0.2583333333E+01    0.0000000000E+00   -0.2322278706E+00   -0.2618195716E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.6455908215E-13    0.6455908215E-13    0.9999968180E+00    0.9999968180E+00
    2    0.2583333333E+01    0.0000000000E+00    0.5805696766E+00   -0.3665408540E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.3921194962E-15    0.3921194962E-15    0.9999986949E+00    0.9999986949E+00
    3    0.2583333333E+01    0.0000000000E+00    0.5805696766E+00    0.8261979125E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.1111815339E-12    0.1111815339E-12    0.9999988465E+00    0.9999988465E+00
    4    0.2583333333E+01    0.0000000000E+00    0.5805696766E+00   -0.3368390861E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.1706965287E-13    0.1706965287E-13    0.9999991572E+00    0.9999991572E+00
    1    0.2841666667E+01    0.0000000000E+00    0.5805696766E+00   -0.4419404228E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2776116343E-14    0.2776116343E-14    0.9999985756E+00    0.9999985756E+00
    2    0.2841666667E+01    0.0000000000E+00   -0.2322278706E+00   -0.4117919685E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2171209163E-14    0.2171209163E-14    0.9999975929E+00    0.9999975929E+00
    3    0.2841666667E+01    0.0000000000E+00   -0.2322278706E+00    0.2263630020E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2778751615E-12    0.2778751615E-12    0.9999984344E+00    0.9999984344E+00
    4    0.2841666667E+01    0.0000000000E+00   -0.2322278706E+00   -0.3718691427E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2835741866E-12    0.2835741866E-12    0.9999984382E+00    0.9999984382E+00
    5    0.2841666667E+01    0.0000000000E+00    0.5805696766E+00   -0.3798127156E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.1277783835E-21    0.1277842697E-21    0.9999992563E+00    0.9999992563E+00
    1    0.3100000000E+01    0.0000000000E+00   -0.2322278706E+00   -0.5280398227E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.7498192192E-14    0.7498192192E-14    0.9999977850E+00    0.9999977850E+00
    2    0.3100000000E+01    0.0000000000E+00    0.5805696766E+00   -0.5185847469E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.1091192580E-13    0.1091192580E-13    0.9999983871E+00    0.9999983871E+00
    3    0.3100000000E+01    0.0000000000E+00   -0.2322278706E+00    0.1628311005E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2997196511E-13    0.2997196511E-13    0.9999989157E+00    0.9999989157E+00
    4    0.3100000000E+01    0.0000000000E+00   -0.2322278706E+00   -0.4330805824E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.2575952980E-13    0.2575952980E-13    0.9999989619E+00    0.9999989619E+00
    5    0.3100000000E+01    0.0000000000E+00    0.5805696766E+00   -0.4172144527E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.4610948591E-17    0.4610963866E-17    0.9999992635E+00    0.9999992635E+00
