  0.1000000000000000E-05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.6673611111111109E-01  0.1038866023062470E-19  0.1304069696157886E-23  0.1272817751496159E-21  0.2776692168619151E-18  0.1272821015303134E-21  0.1304069528104957E-23  0.1038866395622326E-19  0.6274283792127872E-24  0.9148501007104994E-25  0.2380535652323817E-24  0.5415654127497035E-23  0.2380537425768421E-24  0.9148500443410256E-25  0.6274286269300867E-24  0.7460869332592227E-22  0.2755910294733955E-24  0.7047111416056163E-23  0.2560521290993748E-21  0.7047114039895806E-23  0.2755905581951779E-24  0.7460867968232130E-22  0.9999997652700992E+00  0.9055679190520878E-23  0.6499971361423575E-21  0.2999999504665455E+01  0.6499982963551390E-21  0.9055677839321868E-23  0.9999997652700823E+00  0.7460867149812859E-22  0.2755908335498111E-24  0.7047107895819614E-23  0.2560517211276630E-21  0.7047103619488427E-23  0.2755903578023748E-24  0.7460873757370339E-22  0.6274282004456714E-24  0.9148501277672472E-25  0.2380539469343219E-24  0.5415645837239508E-23  0.2380531228649180E-24  0.9148497387497730E-25  0.6274291086376919E-24  0.1038866191184146E-19  0.1304066057391507E-23  0.1272818642311360E-21  0.2776690539188696E-18  0.1272820008542907E-21  0.1304066555549497E-23  0.1038866443150418E-19
  0.2669444444444444E+00  0.1587702309856106E-18  0.7924758446220662E-23  0.1027498908125310E-20  0.1548426602059092E-16  0.1027498700547492E-20  0.7924745048683097E-23  0.1587702183149583E-18  0.3776301475575739E-23  0.5231326007018331E-24  0.1442102507888372E-23  0.3344579328289876E-22  0.1442102652459817E-23  0.5231322418003201E-24  0.3776306957315977E-23  0.5817912737324803E-21  0.1667645853460848E-23  0.4714864071209142E-22  0.2095453787950220E-20  0.4714863251102550E-22  0.1667643801522383E-23  0.5817915762614873E-21  0.9999998084752556E+00  0.5633854937694910E-22  0.7249435080916697E-20  0.2999999585445549E+01  0.7249439019098828E-20  0.5633860966652894E-22  0.9999998084752948E+00  0.5817907942080773E-21  0.1667643989255337E-23  0.4714866504269299E-22  0.2095452683148615E-20  0.4714864391121939E-22  0.1667643138380511E-23  0.5817913958553644E-21  0.3776301388681876E-23  0.5231325766872871E-24  0.1442102217299942E-23  0.3344578540514631E-22  0.1442102362028214E-23  0.5231325527406605E-24  0.3776302186533394E-23  0.1587702389945535E-18  0.7924758211482564E-23  0.1027498180197636E-20  0.1548426461411102E-16  0.1027498566112436E-20  0.7924752620419195E-23  0.1587702790804221E-18
  0.6006250000000001E+00  0.1108424625497570E-16  0.4297286477477481E-22  0.9843474519750858E-20  0.2999997723112025E+01  0.9843473535955962E-20  0.4297285736450568E-22  0.1108424484252412E-16  0.2007481126607696E-22  0.2531765640858646E-23  0.7732526685856307E-23  0.1859451156739453E-21  0.7732525854490751E-23  0.2531765364543829E-23  0.2007481418350657E-22  0.5153152873737663E-20  0.8924742573136494E-23  0.3030501905459168E-21  0.2384913940612130E-19  0.3030503155195079E-21  0.8924736000097539E-23  0.5153152410618801E-20  0.9999997644366070E+00  0.3185739615097659E-21  0.1844323173164863E-18  0.2999999452555726E+01  0.1844323424574968E-18  0.3185737728102249E-21  0.9999997644366381E+00  0.5153152543758976E-20  0.8924736566926316E-23  0.3030502387101154E-21  0.2384913448514469E-19  0.3030503018202086E-21  0.8924739453981924E-23  0.5153150706235684E-20  0.2007479399874987E-22  0.2531768407025591E-23  0.7732524738852549E-23  0.1859452011646310E-21  0.7732524649018398E-23  0.2531766421443681E-23  0.2007481464209158E-22  0.1108424564526306E-16  0.4297285516306675E-22  0.9843474587834695E-20  0.2999997723110916E+01  0.9843473682413823E-20  0.4297283644577824E-22  0.1108424534759221E-16
  0.1067777777777777E+01  0.9999994124326486E+00  0.2194360820553970E-21  0.1520534276198421E-18  0.1999999279654847E+01  0.1520534235299265E-18  0.2194361300984226E-21  0.9999994124326581E+00  0.9871944332076808E-22  0.1061262102932427E-22  0.3798028488323514E-22  0.9735108489484245E-21  0.3798029492326548E-22  0.1061261583633243E-22  0.9871946616632638E-22  0.6614960424810151E-19  0.4371421382501326E-22  0.1999318677230807E-20  0.1314877184874681E-17  0.1999318527578858E-20  0.4371421157210468E-22  0.6614961499690310E-19  0.1999999336221698E+01  0.1741136720500145E-20  0.1638476379303358E-15  0.2999999297065488E+01  0.1638476338636258E-15  0.1741137168879207E-20  0.1999999336221872E+01  0.6614961471942376E-19  0.4371419800429172E-22  0.1999318740843922E-20  0.1314877180155334E-17  0.1999318666021786E-20  0.4371422086877948E-22  0.6614961154822229E-19  0.9871945047553485E-22  0.1061262211719463E-22  0.3798028589265675E-22  0.9735105883423171E-21  0.3798028572068127E-22  0.1061261788390229E-22  0.9871944186178930E-22  0.9999994124326299E+00  0.2194361638610555E-21  0.1520534502434946E-18  0.1999999279654078E+01  0.1520534222154152E-18  0.2194361621756879E-21  0.9999994124326570E+00
  0.1668402777777777E+01  0.1999998964425336E+01  0.1280025370886883E-20  0.1290019234969682E-16  0.1999999228804109E+01  0.1290019248831843E-16  0.1280025387653307E-20  0.1999998964425292E+01  0.5377045649159348E-21  0.4246960479779530E-22  0.1921916993232447E-21  0.5656486846632748E-20  0.1921916605427931E-21  0.4246961013144520E-22  0.5377045483858296E-21  0.2928903714973806E-17  0.2204242645189487E-21  0.1634919578813929E-19  0.9999987228871199E+00  0.1634919593899933E-19  0.2204242871360526E-21  0.2928903486810188E-17  0.1999999277475040E+01  0.1190176541384208E-19  0.9999992974842127E+00  0.2999999131501701E+01  0.9999992974841709E+00  0.1190176710895580E-19  0.1999999277475072E+01  0.2928903849769914E-17  0.2204242405348084E-21  0.1634919605245209E-19  0.9999987228872125E+00  0.1634919341966310E-19  0.2204243332367639E-21  0.2928903778103018E-17  0.5377046425447693E-21  0.4246961154393694E-22  0.1921917128333569E-21  0.5656487219696068E-20  0.1921916389078088E-21  0.4246961638632499E-22  0.5377045004021232E-21  0.1999998964425298E+01  0.1280025264760973E-20  0.1290019205836520E-16  0.1999999228804075E+01  0.1290019322598512E-16  0.1280025477504530E-20  0.1999998964425311E+01
  0.2402500000000000E+01  0.1999999031315950E+01  0.1329237741879742E-19  0.9999990304713663E+00  0.2999998720168726E+01  0.9999990304713519E+00  0.1329237603101066E-19  0.1999999031315764E+01  0.5051065488707113E-20  0.1764041406633755E-21  0.1130738362056568E-20  0.7253715042746436E-19  0.1130738184451135E-20  0.1764041388231275E-21  0.5051065981732848E-20  0.9999984805556333E+00  0.1292188302710960E-20  0.2255695666716844E-18  0.9999992231061035E+00  0.2255695540991214E-18  0.1292188331598012E-20  0.9999984805556876E+00  0.2999998290935396E+01  0.3880171120136670E-18  0.9999993666816054E+00  0.2999998957427476E+01  0.9999993666816007E+00  0.3880171253643047E-18  0.2999998290935391E+01  0.9999984805556386E+00  0.1292188379841322E-20  0.2255695482602030E-18  0.9999992231060221E+00  0.2255695588106941E-18  0.1292188175497104E-20  0.9999984805556432E+00  0.5051066121803222E-20  0.1764041606605541E-21  0.1130738306804312E-20  0.7253714632825577E-19  0.1130738271625053E-20  0.1764041691000655E-21  0.5051065855923029E-20  0.1999999031315806E+01  0.1329237881769953E-19  0.9999990304713671E+00  0.2999998720168683E+01  0.9999990304713614E+00  0.1329237718142618E-19  0.1999999031315868E+01
  0.3270069444444445E+01  0.1999998965496516E+01  0.9009181397482833E-18  0.2999994674253728E+01  0.2999998637296057E+01  0.2999994674253970E+01  0.9009180777136564E-18  0.1999998965496755E+01  0.2854892573079921E-18  0.8240701321805357E-21  0.9045259953703695E-20  0.7969307684004182E-14  0.9045259150121453E-20  0.8240702298471177E-21  0.2854892641007235E-18  0.2999992320285276E+01  0.1032817538797132E-19  0.1300158026440398E-16  0.1999998545598058E+01  0.1300158012110318E-16  0.1032817503867525E-19  0.2999992320285145E+01  0.2999998611114537E+01  0.9999971509970824E+00  0.1999998677974920E+01  0.2999998772915439E+01  0.1999998677970807E+01  0.9999971509976108E+00  0.2999998611114715E+01  0.2999992320285203E+01  0.1032817492436494E-19  0.1300157981995122E-16  0.1999998545591358E+01  0.1300158042786313E-16  0.1032817467263021E-19  0.2999992320285166E+01  0.2854892398435149E-18  0.8240700933036965E-21  0.9045259978064063E-20  0.7969307620229440E-14  0.9045259255381654E-20  0.8240701964683173E-21  0.2854892648384049E-18  0.1999998965494584E+01  0.9009181141411253E-18  0.2999994674254079E+01  0.2999998637295902E+01  0.2999994674254058E+01  0.9009181574479221E-18  0.1999998965495299E+01
  0.4271111111111110E+01  0.2999997402847377E+01  0.9999971185414147E+00  0.1999998478848589E+01  0.2999998481069460E+01  0.1999998478848203E+01  0.9999971185414480E+00  0.2999997402847034E+01  0.9999879975929440E+00  0.4779794234417963E-20  0.1314250504759483E-18  0.9999984454098174E+00  0.1314250524536783E-18  0.4779793996344840E-20  0.9999879975930061E+00  0.1999998392960751E+01  0.1520981005707834E-18  0.9999985866629479E+00  0.1999998617955177E+01  0.9999985866629471E+00  0.1520980944530375E-18  0.1999998392960834E+01  0.2999998475512050E+01  0.9999986552525603E+00  0.1999998700984102E+01  0.2999998573727747E+01  0.1999998700984432E+01  0.9999986552526321E+00  0.2999998475512013E+01  0.1999998392960857E+01  0.1520981075270735E-18  0.9999985866629376E+00  0.1999998617951658E+01  0.9999985866629221E+00  0.1520981026872315E-18  0.1999998392960936E+01  0.9999879975929666E+00  0.4779794140655378E-20  0.1314250598052012E-18  0.9999984454098110E+00  0.1314250557230567E-18  0.4779794038595260E-20  0.9999879975929841E+00  0.2999997402847894E+01  0.9999971185414055E+00  0.1999998478844353E+01  0.2999998481069337E+01  0.1999998478845781E+01  0.9999971185414657E+00  0.2999997402845866E+01
  0.5405624999999999E+01  0.2999998098704892E+01  0.9999984466821900E+00  0.1999998527772756E+01  0.2999998291146108E+01  0.1999998527772787E+01  0.9999984466820592E+00  0.2999998098706456E+01  0.9999985917837233E+00  0.4039454296960098E-19  0.8496583535313241E-17  0.2999994097929842E+01  0.8496584064475206E-17  0.4039454146170731E-19  0.9999985917837546E+00  0.1999998473266962E+01  0.1092059177696465E-16  0.2999990491246156E+01  0.1999998549946547E+01  0.2999990491246062E+01  0.1092059200602805E-16  0.1999998473268256E+01  0.2999998288343651E+01  0.2999995869946738E+01  0.1999998610580303E+01  0.2999998352954672E+01  0.1999998610580648E+01  0.2999995869946159E+01  0.2999998288343678E+01  0.1999998473270883E+01  0.1092059170574439E-16  0.2999990491246146E+01  0.1999998549946940E+01  0.2999990491245967E+01  0.1092059210239170E-16  0.1999998473268279E+01  0.9999985917837132E+00  0.4039454547782843E-19  0.8496583460922716E-17  0.2999994097929605E+01  0.8496583890213393E-17  0.4039454317567447E-19  0.9999985917837482E+00  0.2999998098705038E+01  0.9999984466821381E+00  0.1999998527772762E+01  0.2999998291145373E+01  0.1999998527772831E+01  0.9999984466820535E+00  0.2999998098706617E+01
