    1    0.2583333333E+01   -0.1161139353E+00    0.5805696766E+00    0.7750008939E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.4263608098E-12    0.4263608098E-12    0.9999976787E+00    0.9999976787E+00
    1    0.2841666667E+01   -0.1161139353E+00    0.5805696766E+00    0.2698483348E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.5883471908E-13    0.5883471908E-13    0.9999919510E+00    0.9999919510E+00
    1    0.3100000000E+01   -0.1161139353E+00    0.5805696766E+00    0.4256330858E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.1372014745E-15    0.1372014746E-15    0.9999983569E+00    0.9999983569E+00
    2    0.3100000000E+01   -0.1161139353E+00   -0.2322278706E+00    0.1950573833E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.4172143049E-16    0.4172143063E-16    0.9999948691E+00    0.9999948691E+00
    3    0.3100000000E+01   -0.1161139353E+00    0.5805696766E+00    0.1817224814E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.6143862780E-15    0.6143862782E-15    0.9999980392E+00    0.9999980392E+00
    1    0.3358333333E+01   -0.1161139353E+00    0.5805696766E+00    0.2453590543E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.8362995950E-14    0.8362995950E-14    0.9999988615E+00    0.9999988615E+00
    2    0.3358333333E+01   -0.1161139353E+00   -0.2322278706E+00    0.4260017637E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.6497371005E-16    0.6497371006E-16    0.9999950532E+00    0.9999950532E+00
    3    0.3358333333E+01   -0.1161139353E+00    0.5805696766E+00    0.5002542663E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.1942709629E-14    0.1942709629E-14    0.9999984943E+00    0.9999984943E+00
    1    0.3616666667E+01   -0.1161139353E+00    0.5805696766E+00    0.2962670122E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.1047478796E-13    0.1047478796E-13    0.9999987859E+00    0.9999987859E+00
    2    0.3616666667E+01   -0.1161139353E+00    0.5805696766E+00    0.5611964108E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.4219873009E-13    0.4219873009E-13    0.9999986011E+00    0.9999986011E+00
